Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10297139,St-Stevens-Woluwe,HOUSE,MANSION,555000.0,BUY_REGULAR,4.0,220.0,0,None,0,1,15,1,None,240,2,None,AS_NEW
10294237,Steenokkerzeel,HOUSE,HOUSE,345000.0,BUY_REGULAR,3.0,190.0,0,None,0,None,None,1,None,440,,0,AS_NEW
10287633,Nieuwrode,HOUSE,HOUSE,420000.0,BUY_REGULAR,4.0,214.0,0,None,1,1,30,1,None,2040,4,None,GOOD
10282007,Linkebeek,HOUSE,HOUSE,499000.0,BUY_REGULAR,3.0,198.0,0,None,0,1,None,1,190,180,2,0,JUST_RENOVATED
10311778,Scherpenheuvel,APARTMENT,APARTMENT,267000.0,BUY_REGULAR,2.0,87.0,1,None,0,1,10,None,None,None,,None,
10309438,Herent,APARTMENT,APARTMENT,440000.0,BUY_REGULAR,2.0,121.0,0,None,0,1,20,None,None,,,None,AS_NEW
10289512,Halle,HOUSE,MANSION,349000.0,BUY_REGULAR,4.0,250.0,0,None,0,1,None,None,None,100,2,0,TO_BE_DONE_UP
10307090,Aarschot,APARTMENT,PENTHOUSE,325633.0,BUY_REGULAR,2.0,86.0,0,None,0,1,None,None,None,None,3,0,AS_NEW
10284793,Aarschot,APARTMENT,APARTMENT,220000.0,BUY_REGULAR,2.0,86.0,0,None,0,None,None,None,None,,,None,GOOD
10303871,Vilvoorde,APARTMENT,APARTMENT,319000.0,BUY_REGULAR,2.0,80.0,0,None,0,1,3,None,None,None,2,0,GOOD
10290413,Sint-Stevens-Woluwe,APARTMENT,APARTMENT,265000.0,BUY_REGULAR,3.0,100.0,0,None,0,1,18,None,None,None,2,1,
10298972,Dilbeek,HOUSE,VILLA,1680000.0,BUY_REGULAR,4.0,495.0,0,None,1,1,None,None,None,2052,4,1,AS_NEW
10298932,Wemmel,APARTMENT,APARTMENT,270000.0,BUY_REGULAR,2.0,90.0,0,None,0,None,None,None,None,,2,0,
10294223,Leuven,HOUSE,HOUSE,395000.0,BUY_REGULAR,3.0,138.0,1,None,0,1,15,1,49,125,2,0,JUST_RENOVATED
10287632,Scherpenheuvel,HOUSE,HOUSE,278000.0,BUY_REGULAR,4.0,,0,None,0,1,20,None,None,1200,4,None,TO_RENOVATE
10281898,Kessel-Lo,HOUSE,APARTMENT_BLOCK,350000.0,BUY_REGULAR,3.0,102.0,0,None,0,1,3,None,None,0,2,0,GOOD
10311776,Scherpenheuvel,APARTMENT,APARTMENT,270000.0,BUY_REGULAR,2.0,82.0,1,None,0,1,11,None,None,None,,None,
10172230,Linter,HOUSE,HOUSE,299000.0,BUY_REGULAR,3.0,165.0,0,None,0,None,None,1,1750,1750,4,0,GOOD
10301703,Keerbergen,HOUSE,HOUSE,1795000.0,BUY_REGULAR,4.0,,1,None,0,1,None,None,None,1680,4,1,AS_NEW
10306997,Leuven,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,3.0,93.0,0,None,0,1,3,None,None,None,2,0,TO_BE_DONE_UP
10284792,Aarschot,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,1.0,84.0,0,None,0,None,None,None,None,,,None,GOOD
10303856,Galmaarden,HOUSE,VILLA,384000.0,BUY_REGULAR,3.0,,0,None,0,None,None,None,None,2006,4,0,
10290224,Landen,HOUSE,HOUSE,350000.0,BUY_REGULAR,3.0,,None,None,0,None,None,None,None,0,,None,TO_BE_DONE_UP
10297079,Diest,HOUSE,HOUSE,175000.0,PUBLIC_SALE,2.0,,None,None,0,None,None,None,None,1510,4,None,
10298925,Leuven,HOUSE,HOUSE,675000.0,BUY_REGULAR,3.0,231.0,None,None,0,1,None,1,None,1849,3,0,
10294201,Merchtem,HOUSE,HOUSE,390000.0,BUY_REGULAR,4.0,220.0,0,None,1,1,90,1,891,1278,2,None,TO_RESTORE
10287631,Nieuwrode,HOUSE,HOUSE,445000.0,BUY_REGULAR,4.0,214.0,0,None,1,1,30,1,None,5750,4,None,GOOD
10281894,Malderen,HOUSE,HOUSE,495000.0,BUY_REGULAR,3.0,270.0,None,None,0,1,None,1,None,1875,,0,AS_NEW
10311775,Scherpenheuvel,APARTMENT,GROUND_FLOOR,319000.0,BUY_REGULAR,2.0,99.0,1,None,0,1,26,1,27,,,None,
10309343,Aarschot,APARTMENT,SERVICE_FLAT,235000.0,BUY_REGULAR,1.0,,None,None,0,None,None,None,None,None,,None,AS_NEW
10301690,Tremelo,HOUSE,HOUSE,499000.0,BUY_REGULAR,4.0,185.0,0,None,0,1,25,1,1945,2095,4,None,AS_NEW
10306986,Leuven,HOUSE,HOUSE,365000.0,BUY_REGULAR,0.0,121.0,None,None,0,None,None,None,None,75,2,0,GOOD
10284791,Aarschot,APARTMENT,APARTMENT,220000.0,BUY_REGULAR,2.0,76.0,None,None,0,None,None,None,None,,,None,GOOD
10303825,Keerbergen,HOUSE,VILLA,565000.0,BUY_REGULAR,2.0,370.0,None,None,0,None,None,1,None,1114,,0,TO_RENOVATE
10290058,Sint-Pieters-Leeuw,HOUSE,HOUSE,349000.0,BUY_REGULAR,3.0,147.0,0,None,0,1,None,None,None,154,2,None,
10297045,Vilvoorde,HOUSE,HOUSE,780000.0,BUY_REGULAR,6.0,,0,None,0,None,None,None,None,256,2,None,JUST_RENOVATED
10298924,Leuven,HOUSE,HOUSE,1200000.0,BUY_REGULAR,0.0,285.0,None,None,0,None,None,None,None,130,None,0,None
10294188,Halle,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,2.0,85.0,0,None,0,None,None,None,None,None,2,None,TO_BE_DONE_UP
10287542,Leuven,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10281791,Opwijk,APARTMENT,APARTMENT,259000.0,BUY_REGULAR,2.0,100.0,None,None,0,1,30,1,None,,,0,AS_NEW
